LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_time_lastSpikeTime ISIM_neuron_model_stateCURRENT_time_lastSpikeTime ERROR_neuron_model_stateCURRENT_time_lastSpikeTime LEMS_neuron_model_stateCURRENT_conductance_SynapseModel_g ISIM_neuron_model_stateCURRENT_conductance_SynapseModel_g ERROR_neuron_model_stateCURRENT_conductance_SynapseModel_g LEMS_neuron_model_stateCURRENT_current_SynapseModel_i ISIM_neuron_model_stateCURRENT_current_SynapseModel_i ERROR_neuron_model_stateCURRENT_current_SynapseModel_i  
0.0029 0.002903938 1.5508612E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00295 0.002954006 1.6046844E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.003 0.003004074 1.6598051E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00305 0.003054142 1.7156637E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0031 0.00310421 1.7722507E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00315 0.003154278 1.8301543E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0032 0.003204346 1.8887862E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00325 0.003254414 1.9483425E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0033 0.003304482 2.0088233E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00335 0.003354549 2.0693811E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0034 0.003404617 2.1316981E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00345 0.003454685 2.1949395E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0035 0.003504753 2.2591054E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00355 0.003554821 2.3241957E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0036 0.003604889 2.3902104E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00365 0.003654957 2.4571496E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0037 0.003705025 2.5250132E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00375 0.003755093 2.5940384E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0038 0.003805161 2.6635137E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00385 0.003855228 2.7331767E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0039 0.003905296 2.804972E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00395 0.003955364 2.877698E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.004 0.004005432 2.950596E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00405 0.0040555 3.024918E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0041 0.004105568 3.1001646E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00415 0.004155636 3.1763352E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0042 0.004205704 3.2539617E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00425 0.004255772 3.3314504E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0043 0.00430584 3.4103945E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00435 0.004355907 3.4891628E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0044 0.004405975 3.569943E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00445 0.004456043 3.6516477E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0045 0.004506111 3.734846E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00455 0.004556179 3.8178308E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0046 0.004606247 3.9023087E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00465 0.004656315 3.9877112E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0047 0.004706383 4.0746326E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00475 0.004756451 4.1618903E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0048 0.004806519 4.2494654E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00485 0.004856586 4.3373388E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0049 0.004906654 4.427351E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00495 0.004956722 4.5182875E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.005 0.00500679 4.6107805E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00505 0.005056858 4.7035723E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0051 0.005106926 4.7966433E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00515 0.005156994 4.8912777E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0052 0.005207062 4.9868363E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00525 0.00525713 5.0839832E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0053 0.005307198 5.181397E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00535 0.005357265 5.2777054E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0054 0.005407333 5.3769492E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00545 0.005457401 5.4771174E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0055 0.005507469 5.5789054E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00555 0.005557537 5.6809286E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0056 0.005607605 5.7838765E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00565 0.005657673 5.887034E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0057 0.005707741 5.9918244E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00575 0.005757809 6.098266E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
